#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
ランナー,ランナーLv3,3,クエスト,ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量50%軽減,31,310,6,ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。,ランナー ランナーLv3 ダッシュなど徐々にスタミナを消費する行動の消費量を軽減する。 ダッシュなどの徐々にスタミナを消費する行動の継続スタミナ消費量50%軽減
体術,体術Lv1,1,クエスト,回避などの固定でスタミナを消費する行動の固定スタミナ消費量10%軽減,32,320,6,回避など固定量のスタミナを消費する行動の消費量を軽減する。,体術 体術Lv1 回避など固定量のスタミナを消費する行動の消費量を軽減する。 回避などの固定でスタミナを消費する行動の固定スタミナ消費量10%軽減
体術,体術Lv2,2,クエスト,回避などの固定でスタミナを消費する行動の固定スタミナ消費量20%軽減,32,320,6,回避など固定量のスタミナを消費する行動の消費量を軽減する。,体術 体術Lv2 回避など固定量のスタミナを消費する行動の消費量を軽減する。 回避などの固定でスタミナを消費する行動の固定スタミナ消費量20%軽減
体術,体術Lv3,3,クエスト,回避などの固定でスタミナを消費する行動の固定スタミナ消費量30%軽減,32,320,6,回避など固定量のスタミナを消費する行動の消費量を軽減する。,体術 体術Lv3 回避など固定量のスタミナを消費する行動の消費量を軽減する。 回避などの固定でスタミナを消費する行動の固定スタミナ消費量30%軽減
体術,体術Lv4,4,クエスト,回避などの固定でスタミナを消費する行動の固定スタミナ消費量40%軽減,32,320,6,回避など固定量のスタミナを消費する行動の消費量を軽減する。,体術 体術Lv4 回避など固定量のスタミナを消費する行動の消費量を軽減する。 回避などの固定でスタミナを消費する行動の固定スタミナ消費量40%軽減
体術,体術Lv5,5,クエスト,回避などの固定でスタミナを消費する行動の固定スタミナ消費量50%軽減,32,320,6,回避など固定量のスタミナを消費する行動の消費量を軽減する。,体術 体術Lv5 回避など固定量のスタミナを消費する行動の消費量を軽減する。 回避などの固定でスタミナを消費する行動の固定スタミナ消費量50%軽減
スタミナ急速回復,スタミナ急速回復Lv1,1,クエスト,減っているスタミナの回復速度1.1倍,33,330,6,スタミナの回復速度を高める。,スタミナ急速回復 スタミナ急速回復Lv1 スタミナの回復速度を高める。 減っているスタミナの回復速度1.1倍
スタミナ急速回復,スタミナ急速回復Lv2,2,クエスト,減っているスタミナの回復速度1.2倍,33,330,6,スタミナの回復速度を高める。,スタミナ急速回復 スタミナ急速回復Lv2 スタミナの回復速度を高める。 減っているスタミナの回復速度1.2倍
スタミナ急速回復,スタミナ急速回復Lv3,3,クエスト,減っているスタミナの回復速度1.4倍,33,330,6,スタミナの回復速度を高める。,スタミナ急速回復 スタミナ急速回復Lv3 スタミナの回復速度を高める。 減っているスタミナの回復速度1.4倍
壁面移動,壁面移動Lv1,1,クエスト,壁走り時のスタミナ消費が25％軽減される,90,900,6,壁走り中のスタミナ消費を軽減する。,壁面移動 壁面移動Lv1 壁走り中のスタミナ消費を軽減する。 壁走り時のスタミナ消費が25％軽減される
壁面移動,壁面移動Lv2,2,クエスト,壁走り時のスタミナ消費が50％軽減される,90,900,6,壁走り中のスタミナ消費を軽減する。,壁面移動 壁面移動Lv2 壁走り中のスタミナ消費を軽減する。 壁走り時のスタミナ消費が50％軽減される
壁面移動,壁面移動Lv3,3,クエスト,更に壁走りを行うことで一定時間攻撃力が上がる,90,900,6,壁走り中のスタミナ消費を軽減する。,壁面移動 壁面移動Lv3 壁走り中のスタミナ消費を軽減する。 更に壁走りを行うことで一定時間攻撃力が上がる
壁面移動【翔】,壁面移動【翔】Lv1,1,クエスト,壁走りを行っている間、翔蟲ゲージの回復速度が上がる,,,3,壁走り中の翔蟲ゲージ回復速度を高める。,壁面移動【翔】 壁面移動【翔】Lv1 壁走り中の翔蟲ゲージ回復速度を高める。 壁走りを行っている間、翔蟲ゲージの回復速度が上がる
ガード性能,ガード性能Lv1,1,戦闘(生存),威力をわずかに軽減,34,340,6,ガード時ののけぞりを抑え、スタミナ消費も軽減する。,ガード性能 ガード性能Lv1 ガード時ののけぞりを抑え、スタミナ消費も軽減する。 威力をわずかに軽減
ガード性能,ガード性能Lv2,2,戦闘(生存),威力をわずかに軽減し、スタミナ消費量を15%軽減,34,340,6,ガード時ののけぞりを抑え、スタミナ消費も軽減する。,ガード性能 ガード性能Lv2 ガード時ののけぞりを抑え、スタミナ消費も軽減する。 威力をわずかに軽減し、スタミナ消費量を15%軽減
ガード性能,ガード性能Lv3,3,戦闘(生存),威力を軽減し、スタミナ消費量を15%軽減,34,340,6,ガード時ののけぞりを抑え、スタミナ消費も軽減する。,ガード性能 ガード性能Lv3 ガード時ののけぞりを抑え、スタミナ消費も軽減する。 威力を軽減し、スタミナ消費量を15%軽減
ガード性能,ガード性能Lv4,4,戦闘(生存),威力を軽減し、スタミナ消費量を30%軽減,34,340,6,ガード時ののけぞりを抑え、スタミナ消費も軽減する。,ガード性能 ガード性能Lv4 ガード時ののけぞりを抑え、スタミナ消費も軽減する。 威力を軽減し、スタミナ消費量を30%軽減
ガード性能,ガード性能Lv5,5,戦闘(生存),威力を大きく軽減し、スタミナ消費量を50%軽減,34,340,6,ガード時ののけぞりを抑え、スタミナ消費も軽減する。,ガード性能 ガード性能Lv5 ガード時ののけぞりを抑え、スタミナ消費も軽減する。 威力を大きく軽減し、スタミナ消費量を50%軽減
ガード強化,ガード強化Lv1,1,戦闘(生存),通常はガードできない攻撃もガードできるようになる。ダメージ軽減30％,35,350,6,通常はガードできない攻撃もガード可能にする。,ガード強化 ガード強化Lv1 通常はガードできない攻撃もガード可能にする。 通常はガードできない攻撃もガードできるようになる。ダメージ軽減30％
ガード強化,ガード強化Lv2,2,戦闘(生存),通常はガードできない攻撃もガードできるようになる。ダメージ軽減50％,35,350,6,通常はガードできない攻撃もガード可能にする。,ガード強化 ガード強化Lv2 通常はガードできない攻撃もガード可能にする。 通常はガードできない攻撃もガードできるようになる。ダメージ軽減50％
ガード強化,ガード強化Lv3,3,戦闘(生存),通常はガードできない攻撃もガードできるようになる。ダメージ軽減80％,35,350,6,通常はガードできない攻撃もガード可能にする。,ガード強化 ガード強化Lv3 通常はガードできない攻撃もガード可能にする。 通常はガードできない攻撃もガードできるようになる。ダメージ軽減80％
攻めの守勢,攻めの守勢Lv1,1,戦闘(攻撃),タイミング良くガードを成功させると、一定時間、攻撃力1.05倍,36,360,9,タイミングよくガードすると、一定時間攻撃力を高める。,攻めの守勢 攻めの守勢Lv1 タイミングよくガードすると、一定時間攻撃力を高める。 タイミング良くガードを成功させると、一定時間、攻撃力1.05倍
攻めの守勢,攻めの守勢Lv2,2,戦闘(攻撃),タイミング良くガードを成功させると、一定時間、攻撃力1.1倍,36,360,9,タイミングよくガードすると、一定時間攻撃力を高める。,攻めの守勢 攻めの守勢Lv2 タイミングよくガードすると、一定時間攻撃力を高める。 タイミング良くガードを成功させると、一定時間、攻撃力1.1倍
攻めの守勢,攻めの守勢Lv3,3,戦闘(攻撃),タイミング良くガードを成功させると、一定時間、攻撃力1.15倍,36,360,9,タイミングよくガードすると、一定時間攻撃力を高める。,攻めの守勢 攻めの守勢Lv3 タイミングよくガードすると、一定時間攻撃力を高める。 タイミング良くガードを成功させると、一定時間、攻撃力1.15倍
抜刀術【技】,抜刀術【技】Lv1,1,戦闘(攻撃),武器出し攻撃後一定時間会心率が上がる。会心率+10％,37,370,9,武器出し攻撃後、一定時間会心率を高める。,抜刀術【技】 抜刀術【技】Lv1 武器出し攻撃後、一定時間会心率を高める。 武器出し攻撃後一定時間会心率が上がる。会心率+10％
抜刀術【技】,抜刀術【技】Lv2,2,戦闘(攻撃),武器出し攻撃後一定時間会心率が上がる。会心率+20％,37,370,9,武器出し攻撃後、一定時間会心率を高める。,抜刀術【技】 抜刀術【技】Lv2 武器出し攻撃後、一定時間会心率を高める。 武器出し攻撃後一定時間会心率が上がる。会心率+20％
抜刀術【技】,抜刀術【技】Lv3,3,戦闘(攻撃),武器出し攻撃後一定時間会心率が上がる。会心率+40％,37,370,9,武器出し攻撃後、一定時間会心率を高める。,抜刀術【技】 抜刀術【技】Lv3 武器出し攻撃後、一定時間会心率を高める。 武器出し攻撃後一定時間会心率が上がる。会心率+40％
抜刀術【力】,抜刀術【力】Lv1,1,戦闘(攻撃),武器出し攻撃に気絶を誘発する効果がわずかに付く。武器出し攻撃の攻撃力+3,38,380,6,武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。,抜刀術【力】 抜刀術【力】Lv1 武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。 武器出し攻撃に気絶を誘発する効果がわずかに付く。武器出し攻撃の攻撃力+3
抜刀術【力】,抜刀術【力】Lv2,2,戦闘(攻撃),武器出し攻撃に気絶を誘発する効果が付く。武器出し攻撃の攻撃力+5,38,380,6,武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。,抜刀術【力】 抜刀術【力】Lv2 武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。 武器出し攻撃に気絶を誘発する効果が付く。武器出し攻撃の攻撃力+5
抜刀術【力】,抜刀術【力】Lv3,3,戦闘(攻撃),武器出し攻撃に気絶を誘発する効果が大きく付く。武器出し攻撃の攻撃力+7,38,380,6,武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。,抜刀術【力】 抜刀術【力】Lv3 武器出し攻撃に気絶効果を追加・強化し、攻撃力も少し高める。 武器出し攻撃に気絶を誘発する効果が大きく付く。武器出し攻撃の攻撃力+7
納刀術,納刀術Lv1,1,戦闘(生存),武器をしまう速度がわずかに上昇,39,390,6,武器を納刀する速度を高める。,納刀術 納刀術Lv1 武器を納刀する速度を高める。 武器をしまう速度がわずかに上昇
納刀術,納刀術Lv2,2,戦闘(生存),武器をしまう速度が上昇,39,390,6,武器を納刀する速度を高める。,納刀術 納刀術Lv2 武器を納刀する速度を高める。 武器をしまう速度が上昇
納刀術,納刀術Lv3,3,戦闘(生存),武器をしまう速度がかなり上昇,39,390,6,武器を納刀する速度を高める。,納刀術 納刀術Lv3 武器を納刀する速度を高める。 武器をしまう速度がかなり上昇
ＫＯ術,ＫＯ術Lv1,1,戦闘(属性・異常),気絶効果1.2倍,40,400,6,モンスターを気絶させやすくする。,ＫＯ術 ＫＯ術Lv1 モンスターを気絶させやすくする。 気絶効果1.2倍
ＫＯ術,ＫＯ術Lv2,2,戦闘(属性・異常),気絶効果1.3倍,40,400,6,モンスターを気絶させやすくする。,ＫＯ術 ＫＯ術Lv2 モンスターを気絶させやすくする。 気絶効果1.3倍
ＫＯ術,ＫＯ術Lv3,3,戦闘(属性・異常),気絶効果1.4倍,40,400,6,モンスターを気絶させやすくする。,ＫＯ術 ＫＯ術Lv3 モンスターを気絶させやすくする。 気絶効果1.4倍
スタミナ奪取,スタミナ奪取Lv1,1,戦闘(属性・異常),減気値が1.2倍,41,410,3,モンスターを疲れさせる効果を高める。,スタミナ奪取 スタミナ奪取Lv1 モンスターを疲れさせる効果を高める。 減気値が1.2倍
スタミナ奪取,スタミナ奪取Lv2,2,戦闘(属性・異常),減気値が1.3倍,41,410,3,モンスターを疲れさせる効果を高める。,スタミナ奪取 スタミナ奪取Lv2 モンスターを疲れさせる効果を高める。 減気値が1.3倍
スタミナ奪取,スタミナ奪取Lv3,3,戦闘(属性・異常),減気値が1.4倍,41,410,3,モンスターを疲れさせる効果を高める。,スタミナ奪取 スタミナ奪取Lv3 モンスターを疲れさせる効果を高める。 減気値が1.4倍
破壊王,破壊王Lv1,1,戦闘(攻撃),部位に対する蓄積ダメージ1.1倍,72,720,6,大型モンスターの部位を破壊しやすくする。,破壊王 破壊王Lv1 大型モンスターの部位を破壊しやすくする。 部位に対する蓄積ダメージ1.1倍
破壊王,破壊王Lv2,2,戦闘(攻撃),部位に対する蓄積ダメージ1.2倍,72,720,6,大型モンスターの部位を破壊しやすくする。,破壊王 破壊王Lv2 大型モンスターの部位を破壊しやすくする。 部位に対する蓄積ダメージ1.2倍
破壊王,破壊王Lv3,3,戦闘(攻撃),部位に対する蓄積ダメージ1.3倍,72,720,6,大型モンスターの部位を破壊しやすくする。,破壊王 破壊王Lv3 大型モンスターの部位を破壊しやすくする。 部位に対する蓄積ダメージ1.3倍
血氣,血氣Lv1,1,戦闘(生存),モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する,,,12,部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。,血氣 血氣Lv1 部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。 モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する
血氣,血氣Lv2,2,戦闘(生存),モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する,,,12,部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。,血氣 血氣Lv2 部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。 モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する
血氣,血氣Lv3,3,戦闘(生存),モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する,,,12,部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。,血氣 血氣Lv3 部位破壊済み箇所への攻撃で、与えたダメージに応じて体力を回復する。 モンスターの部位破壊済み箇所へ攻撃がヒットしたとき、ダメージに応じて体力が回復する
滑走強化,滑走強化Lv1,1,戦闘(攻撃),スライディングを行うと一定時間会心率が上昇,42,420,3,スライディング後、一定時間会心率を高める。,滑走強化 滑走強化Lv1 スライディング後、一定時間会心率を高める。 スライディングを行うと一定時間会心率が上昇
笛吹き名人,笛吹き名人Lv1,1,戦闘(剣士専用),狩猟笛の演奏と多重演奏が早くなり、衝撃波のダメージが上がる,43,430,3,狩猟笛の演奏を速くし、衝撃波のダメージを高める。,笛吹き名人 笛吹き名人Lv1 狩猟笛の演奏を速くし、衝撃波のダメージを高める。 狩猟笛の演奏と多重演奏が早くなり、衝撃波のダメージが上がる
砲術,砲術Lv1,1,戦闘(攻撃),ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.1倍。竜撃砲の冷却時間が15%減少,44,440,12,砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。,砲術 砲術Lv1 砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。 ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.1倍。竜撃砲の冷却時間が15%減少
砲術,砲術Lv2,2,戦闘(攻撃),ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.2倍。竜撃砲の冷却時間が30%減少,44,440,12,砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。,砲術 砲術Lv2 砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。 ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.2倍。竜撃砲の冷却時間が30%減少
砲術,砲術Lv3,3,戦闘(攻撃),ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.3倍。竜撃砲の冷却時間が50%減少,44,440,12,砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。,砲術 砲術Lv3 砲撃、竜撃砲、榴弾など爆発を伴う攻撃の威力を高める。 ガンランスの砲撃と竜撃砲、チャージアックスのビン攻撃、徹甲榴弾などの爆破系の攻撃力が1.3倍。竜撃砲の冷却時間が50%減少
砲弾装填,砲弾装填Lv1,1,戦闘(剣士専用),砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のビン装填数が増える。弾とビンの装填が早くなる,45,450,6,ガンランスの装填を改善し、装填数やチャージアックスのビン数を増やす。,砲弾装填 砲弾装填Lv1 ガンランスの装填を改善し、装填数やチャージアックスのビン数を増やす。 砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のビン装填数が増える。弾とビンの装填が早くなる
砲弾装填,砲弾装填Lv2,2,戦闘(剣士専用),砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のビン装填数が増える。さらにガンランスの装填数+1、盾斧のチャージ数上昇,45,450,6,ガンランスの装填を改善し、装填数やチャージアックスのビン数を増やす。,砲弾装填 砲弾装填Lv2 ガンランスの装填を改善し、装填数やチャージアックスのビン数を増やす。 砲弾の装填がスムーズになりガンランスの装填数が上昇、盾斧のビン装填数が増える。さらにガンランスの装填数+1、盾斧のチャージ数上昇
高速変形,高速変形Lv1,1,戦闘(剣士専用),スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.1倍になる,92,920,12,スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。,高速変形 高速変形Lv1 スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。 スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.1倍になる
高速変形,高速変形Lv2,2,戦闘(剣士専用),スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.2倍になり、変形攻撃のダメージが1.1倍になる,92,920,12,スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。,高速変形 高速変形Lv2 スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。 スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.2倍になり、変形攻撃のダメージが1.1倍になる
高速変形,高速変形Lv3,3,戦闘(剣士専用),スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.3倍になり、変形攻撃のダメージが1.2倍になる,92,920,12,スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。,高速変形 高速変形Lv3 スラッシュアックスとチャージアックスの変形速度と変形攻撃の威力を高める。 スラッシュアックスとチャージアックスの変形アクションの速度と火力が上昇。速度が1.3倍になり、変形攻撃のダメージが1.2倍になる
特殊射撃強化,特殊射撃強化Lv1,1,戦闘(ガンナー専用),ボウガンの特殊弾と弓の竜の一矢の威力が1.1倍,46,460,6,ボウガンの特殊弾と弓の竜の一矢などの威力を高める。,特殊射撃強化 特殊射撃強化Lv1 ボウガンの特殊弾と弓の竜の一矢などの威力を高める。 ボウガンの特殊弾と弓の竜の一矢の威力が1.1倍
特殊射撃強化,特殊射撃強化Lv2,2,戦闘(ガンナー専用),ボウガンの特殊弾と弓の竜の一矢の威力が1.2倍,46,460,6,ボウガンの特殊弾と弓の竜の一矢などの威力を高める。,特殊射撃強化 特殊射撃強化Lv2 ボウガンの特殊弾と弓の竜の一矢などの威力を高める。 ボウガンの特殊弾と弓の竜の一矢の威力が1.2倍
通常弾・連射矢強化,通常弾・連射矢強化Lv1,1,戦闘(ガンナー専用),通常弾、連射矢の威力をわずかにＵＰ,47,470,15,ボウガンの通常弾と弓の連射矢の威力を高める。,通常弾・連射矢強化 通常弾・連射矢強化Lv1 ボウガンの通常弾と弓の連射矢の威力を高める。 通常弾、連射矢の威力をわずかにＵＰ
通常弾・連射矢強化,通常弾・連射矢強化Lv2,2,戦闘(ガンナー専用),通常弾、連射矢の威力をＵＰ,47,470,15,ボウガンの通常弾と弓の連射矢の威力を高める。,通常弾・連射矢強化 通常弾・連射矢強化Lv2 ボウガンの通常弾と弓の連射矢の威力を高める。 通常弾、連射矢の威力をＵＰ
通常弾・連射矢強化,通常弾・連射矢強化Lv3,3,戦闘(ガンナー専用),通常弾、連射矢の威力をさらにＵＰ,47,470,15,ボウガンの通常弾と弓の連射矢の威力を高める。,通常弾・連射矢強化 通常弾・連射矢強化Lv3 ボウガンの通常弾と弓の連射矢の威力を高める。 通常弾、連射矢の威力をさらにＵＰ
貫通弾・貫通矢強化,貫通弾・貫通矢強化Lv1,1,戦闘(ガンナー専用),貫通弾、貫通矢の威力をわずかにＵＰ,48,480,15,ボウガンの貫通弾と弓の貫通矢の威力を高める。,貫通弾・貫通矢強化 貫通弾・貫通矢強化Lv1 ボウガンの貫通弾と弓の貫通矢の威力を高める。 貫通弾、貫通矢の威力をわずかにＵＰ
貫通弾・貫通矢強化,貫通弾・貫通矢強化Lv2,2,戦闘(ガンナー専用),貫通弾、貫通矢の威力をＵＰ,48,480,15,ボウガンの貫通弾と弓の貫通矢の威力を高める。,貫通弾・貫通矢強化 貫通弾・貫通矢強化Lv2 ボウガンの貫通弾と弓の貫通矢の威力を高める。 貫通弾、貫通矢の威力をＵＰ
貫通弾・貫通矢強化,貫通弾・貫通矢強化Lv3,3,戦闘(ガンナー専用),貫通弾、貫通矢の威力をさらにＵＰ,48,480,15,ボウガンの貫通弾と弓の貫通矢の威力を高める。,貫通弾・貫通矢強化 貫通弾・貫通矢強化Lv3 ボウガンの貫通弾と弓の貫通矢の威力を高める。 貫通弾、貫通矢の威力をさらにＵＰ
散弾・拡散矢強化,散弾・拡散矢強化Lv1,1,戦闘(ガンナー専用),散弾、放散弾、拡散矢の威力をわずかにUP,49,490,15,ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。,散弾・拡散矢強化 散弾・拡散矢強化Lv1 ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。 散弾、放散弾、拡散矢の威力をわずかにUP
散弾・拡散矢強化,散弾・拡散矢強化Lv2,2,戦闘(ガンナー専用),散弾、放散弾、拡散矢の威力をUP,49,490,15,ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。,散弾・拡散矢強化 散弾・拡散矢強化Lv2 ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。 散弾、放散弾、拡散矢の威力をUP
散弾・拡散矢強化,散弾・拡散矢強化Lv3,3,戦闘(ガンナー専用),散弾、放散弾、拡散矢の威力をさらにUP,49,490,15,ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。,散弾・拡散矢強化 散弾・拡散矢強化Lv3 ボウガンの散弾・放散弾と弓の拡散矢の威力を高める。 散弾、放散弾、拡散矢の威力をさらにUP
装填拡張,装填拡張Lv1,1,戦闘(ガンナー専用),ボウガンの装填数が増える。一部の弾の装填数が増加,50,500,15,ボウガンの装填数を増やす。,装填拡張 装填拡張Lv1 ボウガンの装填数を増やす。 ボウガンの装填数が増える。一部の弾の装填数が増加
装填拡張,装填拡張Lv2,2,戦闘(ガンナー専用),ボウガンの装填数が増える。多くの弾の装填数が増加,50,500,15,ボウガンの装填数を増やす。,装填拡張 装填拡張Lv2 ボウガンの装填数を増やす。 ボウガンの装填数が増える。多くの弾の装填数が増加
装填拡張,装填拡張Lv3,3,戦闘(ガンナー専用),ボウガンの装填数が増える。ほとんどの弾の装填数が増加,50,500,15,ボウガンの装填数を増やす。,装填拡張 装填拡張Lv3 ボウガンの装填数を増やす。 ボウガンの装填数が増える。ほとんどの弾の装填数が増加
装填速度,装填速度Lv1,1,戦闘(ガンナー専用),ボウガンの速度1段階上昇。弓の速度を早くする,51,510,6,ボウガンの装填と弓のビン装着を速くする。,装填速度 装填速度Lv1 ボウガンの装填と弓のビン装着を速くする。 ボウガンの速度1段階上昇。弓の速度を早くする
装填速度,装填速度Lv2,2,戦闘(ガンナー専用),ボウガンの速度2段階上昇。弓は自動でビン装着する,51,510,6,ボウガンの装填と弓のビン装着を速くする。,装填速度 装填速度Lv2 ボウガンの装填と弓のビン装着を速くする。 ボウガンの速度2段階上昇。弓は自動でビン装着する
装填速度,装填速度Lv3,3,戦闘(ガンナー専用),ボウガンの速度3段階上昇,51,510,6,ボウガンの装填と弓のビン装着を速くする。,装填速度 装填速度Lv3 ボウガンの装填と弓のビン装着を速くする。 ボウガンの速度3段階上昇
反動軽減,反動軽減Lv1,1,戦闘(ガンナー専用),反動を1段階軽減,52,520,6,ボウガン射撃時の反動を軽減する。,反動軽減 反動軽減Lv1 ボウガン射撃時の反動を軽減する。 反動を1段階軽減
反動軽減,反動軽減Lv2,2,戦闘(ガンナー専用),反動を2段階軽減,52,520,6,ボウガン射撃時の反動を軽減する。,反動軽減 反動軽減Lv2 ボウガン射撃時の反動を軽減する。 反動を2段階軽減
反動軽減,反動軽減Lv3,3,戦闘(ガンナー専用),反動を3段階軽減,52,520,6,ボウガン射撃時の反動を軽減する。,反動軽減 反動軽減Lv3 ボウガン射撃時の反動を軽減する。 反動を3段階軽減
速射強化,速射強化Lv1,1,戦闘(ガンナー専用),速射弾のダメージ1.05倍,53,530,15,ライトボウガンの速射を強化する。,速射強化 速射強化Lv1 ライトボウガンの速射を強化する。 速射弾のダメージ1.05倍
速射強化,速射強化Lv2,2,戦闘(ガンナー専用),速射弾のダメージ1.1倍,53,530,15,ライトボウガンの速射を強化する。,速射強化 速射強化Lv2 ライトボウガンの速射を強化する。 速射弾のダメージ1.1倍
速射強化,速射強化Lv3,3,戦闘(ガンナー専用),速射弾のダメージ1.2倍,53,530,15,ライトボウガンの速射を強化する。,速射強化 速射強化Lv3 ライトボウガンの速射を強化する。 速射弾のダメージ1.2倍
ブレ抑制,ブレ抑制Lv1,1,戦闘(ガンナー専用),ブレを1段階軽減,97,970,6,ボウガンの弾道のブレを抑える。,ブレ抑制 ブレ抑制Lv1 ボウガンの弾道のブレを抑える。 ブレを1段階軽減
ブレ抑制,ブレ抑制Lv2,2,戦闘(ガンナー専用),ブレを2段階軽減,97,970,6,ボウガンの弾道のブレを抑える。,ブレ抑制 ブレ抑制Lv2 ボウガンの弾道のブレを抑える。 ブレを2段階軽減
ブレ抑制,ブレ抑制Lv3,3,戦闘(ガンナー専用),ブレを3段階軽減,97,970,6,ボウガンの弾道のブレを抑える。,ブレ抑制 ブレ抑制Lv3 ボウガンの弾道のブレを抑える。 ブレを3段階軽減
チューンアップ,チューンアップLv1,1,戦闘(ガンナー専用),ボウガンカスタマイズで装着する強化パーツの性能が上がる,,,12,ボウガンのカスタマイズパーツの性能を高める。,チューンアップ チューンアップLv1 ボウガンのカスタマイズパーツの性能を高める。 ボウガンカスタマイズで装着する強化パーツの性能が上がる
チューンアップ,チューンアップLv2,2,戦闘(ガンナー専用),ボウガンカスタマイズで装着する強化パーツの性能が上がる,,,12,ボウガンのカスタマイズパーツの性能を高める。,チューンアップ チューンアップLv2 ボウガンのカスタマイズパーツの性能を高める。 ボウガンカスタマイズで装着する強化パーツの性能が上がる
防御,防御Lv1,1,パラメータ変化,防御力+5,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv1 防御力を高め、レベルに応じて耐性値も高める。 防御力+5
防御,防御Lv2,2,パラメータ変化,防御力+10,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv2 防御力を高め、レベルに応じて耐性値も高める。 防御力+10
防御,防御Lv3,3,パラメータ変化,防御力を1.05倍し、防御力+10,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv3 防御力を高め、レベルに応じて耐性値も高める。 防御力を1.05倍し、防御力+10
防御,防御Lv4,4,パラメータ変化,防御力を1.05倍し、防御力+20、全属性耐性値+3,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv4 防御力を高め、レベルに応じて耐性値も高める。 防御力を1.05倍し、防御力+20、全属性耐性値+3
防御,防御Lv5,5,パラメータ変化,防御力を1.08倍し、防御力+20、全属性耐性値+3,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv5 防御力を高め、レベルに応じて耐性値も高める。 防御力を1.08倍し、防御力+20、全属性耐性値+3
防御,防御Lv6,6,パラメータ変化,防御力を1.08倍し、防御力+35、全属性耐性値+5,54,540,3,防御力を高め、レベルに応じて耐性値も高める。,防御 防御Lv6 防御力を高め、レベルに応じて耐性値も高める。 防御力を1.08倍し、防御力+35、全属性耐性値+5
